호선_x,역명,구분,방법1_가중치_물류량,방법2_cluster3_가중치_물류량,방법2_cluster4_가중치_물류량,Unnamed: 0,차량기지,호선_y,전철역코드,수송비용,유휴공간,교통량
3호선,경복궁,종로구,26100.08199506696,298269.45636802574,212865.05934223547,70,지축차량사업소,3,317,0.6271186440677966,0.0033004624530331,0.9043274139220052
3호선,안국,종로구,26100.08199506696,298269.45636802574,212865.05934223547,71,지축차량사업소,3,318,0.6892655367231638,0.0270456719288549,0.9043274139220052
4호선,혜화,종로구,26100.08199506696,298269.45636802574,212865.05934223547,107,창동차량사업소,4,420,0.4384858044164038,0.0048484440584557,0.9043274139220052
5호선,서대문,종로구,26100.08199506696,298269.45636802574,212865.05934223547,144,방화차량사업소,5,2533,0.7692307692307692,0.0223965499165824,0.9043274139220052
5호선,광화문,종로구,26100.08199506696,298269.45636802574,212865.05934223547,145,방화차량사업소,5,2534,0.8060200668896321,0.1268853082826076,0.9043274139220052
6호선,창신,종로구,26100.08199506696,298269.45636802574,212865.05934223547,206,신내차량사업소,6,2638,0.7197802197802198,0.0036240372033304,0.9043274139220052
1호선,신설동,동대문구,103191.34959370874,593074.8299864024,624969.2591565199,7,군자차량사업소,1,156,0.7564102564102565,,0.169438794787488
1호선,신설동,동대문구,103191.34959370874,593074.8299864024,624969.2591565199,57,신정차량사업소,2,246,0.9003322259136212,,0.169438794787488
2호선,신설동,동대문구,103191.34959370874,593074.8299864024,624969.2591565199,7,군자차량사업소,1,156,0.7564102564102565,,0.169438794787488
2호선,신설동,동대문구,103191.34959370874,593074.8299864024,624969.2591565199,57,신정차량사업소,2,246,0.9003322259136212,,0.169438794787488
1호선,제기동,동대문구,103191.34959370874,593074.8299864024,624969.2591565199,8,군자차량사업소,1,157,0.8717948717948719,,0.169438794787488
1호선,청량리,동대문구,103191.34959370874,593074.8299864024,624969.2591565199,9,군자차량사업소,1,158,1.0,,0.169438794787488
2호선,용두,동대문구,103191.34959370874,593074.8299864024,624969.2591565199,56,신정차량사업소,2,250,0.8803986710963454,,0.169438794787488
5호선,장한평,동대문구,103191.34959370874,593074.8299864024,624969.2591565199,155,고덕차량사업소,5,2544,0.9,0.02356918481166,0.169438794787488
2호선,상왕십리,성동구,120780.89450619456,993258.822177589,676139.2234986312,16,신정차량사업소,2,207,0.0813953488372093,0.0126323582516091,0.6102433416671356
2호선,왕십리,성동구,120780.89450619456,993258.822177589,676139.2234986312,17,신정차량사업소,2,208,0.0946843853820598,0.0271181526729215,0.6102433416671356
2호선,왕십리,성동구,120780.89450619456,993258.822177589,676139.2234986312,152,고덕차량사업소,5,2541,1.0,0.1040836427786528,0.6102433416671356
5호선,왕십리,성동구,120780.89450619456,993258.822177589,676139.2234986312,17,신정차량사업소,2,208,0.0946843853820598,0.0271181526729215,0.6102433416671356
5호선,왕십리,성동구,120780.89450619456,993258.822177589,676139.2234986312,152,고덕차량사업소,5,2541,1.0,0.1040836427786528,0.6102433416671356
2호선,한양대,성동구,120780.89450619456,993258.822177589,676139.2234986312,18,신정차량사업소,2,209,0.1112956810631229,0.0244415423384617,0.6102433416671356
2호선,뚝섬,성동구,120780.89450619456,993258.822177589,676139.2234986312,19,신정차량사업소,2,210,0.1295681063122923,0.0136665031535595,0.6102433416671356
2호선,성수,성동구,120780.89450619456,993258.822177589,676139.2234986312,20,신정차량사업소,2,211,0.1428571428571428,0.0222671200164634,0.6102433416671356
2호선,용답,성동구,120780.89450619456,993258.822177589,676139.2234986312,54,신정차량사업소,2,244,0.8488372093023255,,0.6102433416671356
2호선,신답,성동구,120780.89450619456,993258.822177589,676139.2234986312,55,신정차량사업소,2,245,0.8654485049833887,,0.6102433416671356
3호선,금호,성동구,120780.89450619456,993258.822177589,676139.2234986312,77,지축차량사업소,3,324,0.9548022598870056,0.0185356559960342,0.6102433416671356
3호선,옥수,성동구,120780.89450619456,993258.822177589,676139.2234986312,78,지축차량사업소,3,325,1.0,0.0811706675605958,0.6102433416671356
5호선,신금호,성동구,120780.89450619456,993258.822177589,676139.2234986312,150,방화차량사업소,5,2539,0.9698996655518394,0.0081074889434507,0.6102433416671356
5호선,행당,성동구,120780.89450619456,993258.822177589,676139.2234986312,151,방화차량사업소,5,2540,1.0,0.0204602786108029,0.6102433416671356
5호선,마장,성동구,120780.89450619456,993258.822177589,676139.2234986312,153,고덕차량사업소,5,2542,0.9758620689655172,0.0038828970035683,0.6102433416671356
5호선,답십리,성동구,120780.89450619456,993258.822177589,676139.2234986312,154,고덕차량사업소,5,2543,0.9413793103448276,0.0388315586336862,0.6102433416671356
2호선,건대입구,광진구,110847.77669058596,951539.461480344,647739.6809857823,21,신정차량사업소,2,212,0.1627906976744186,0.0390930070319264,0.6518132049231067
2호선,건대입구,광진구,110847.77669058596,951539.461480344,647739.6809857823,237,도봉차량사업소,7,2729,0.8225108225108225,0.1518212728395237,0.6518132049231067
7호선,건대입구,광진구,110847.77669058596,951539.461480344,647739.6809857823,21,신정차량사업소,2,212,0.1627906976744186,0.0390930070319264,0.6518132049231067
7호선,건대입구,광진구,110847.77669058596,951539.461480344,647739.6809857823,237,도봉차량사업소,7,2729,0.8225108225108225,0.1518212728395237,0.6518132049231067
2호선,구의,광진구,110847.77669058596,951539.461480344,647739.6809857823,22,신정차량사업소,2,213,0.1893687707641196,0.0172413569948448,0.6518132049231067
2호선,강변,광진구,110847.77669058596,951539.461480344,647739.6809857823,23,신정차량사업소,2,214,0.2043189368770764,0.0100308172592183,0.6518132049231067
5호선,군자,광진구,110847.77669058596,951539.461480344,647739.6809857823,156,고덕차량사업소,5,2545,0.8482758620689654,0.0237206177947992,0.6518132049231067
5호선,군자,광진구,110847.77669058596,951539.461480344,647739.6809857823,235,도봉차량사업소,7,2727,0.7402597402597403,0.0623994491463451,0.6518132049231067
7호선,군자,광진구,110847.77669058596,951539.461480344,647739.6809857823,156,고덕차량사업소,5,2545,0.8482758620689654,0.0237206177947992,0.6518132049231067
7호선,군자,광진구,110847.77669058596,951539.461480344,647739.6809857823,235,도봉차량사업소,7,2727,0.7402597402597403,0.0623994491463451,0.6518132049231067
5호선,아차산,광진구,110847.77669058596,951539.461480344,647739.6809857823,157,고덕차량사업소,5,2546,0.8137931034482758,0.0248143004508043,0.6518132049231067
5호선,광나루,광진구,110847.77669058596,951539.461480344,647739.6809857823,158,고덕차량사업소,5,2547,0.7620689655172413,0.0230799397892104,0.6518132049231067
7호선,중곡,광진구,110847.77669058596,951539.461480344,647739.6809857823,234,도봉차량사업소,7,2726,0.6926406926406926,0.0183984603019081,0.6518132049231067
7호선,어린이대공원,광진구,110847.77669058596,951539.461480344,647739.6809857823,236,도봉차량사업소,7,2728,0.7878787878787878,0.057815042084132,0.6518132049231067
7호선,뚝섬유원지,광진구,110847.77669058596,951539.461480344,647739.6809857823,238,도봉차량사업소,7,2730,0.8658008658008658,0.0038686597145552,0.6518132049231067
2호선,잠실나루,송파구,437601.8954430516,3131997.529137589,2473720.235954311,24,신정차량사업소,2,215,0.2342192691029899,0.0509254885008005,0.6796041577902294
2호선,잠실,송파구,437601.8954430516,3131997.529137589,2473720.235954311,25,신정차량사업소,2,216,0.2508305647840531,0.0736818535397136,0.6796041577902294
2호선,잠실,송파구,437601.8954430516,3131997.529137589,2473720.235954311,265,모란차량사업소,8,2815,0.2598870056497175,0.269174068978371,0.6796041577902294
8호선,잠실,송파구,437601.8954430516,3131997.529137589,2473720.235954311,25,신정차량사업소,2,216,0.2508305647840531,0.0736818535397136,0.6796041577902294
8호선,잠실,송파구,437601.8954430516,3131997.529137589,2473720.235954311,265,모란차량사업소,8,2815,0.2598870056497175,0.269174068978371,0.6796041577902294
2호선,잠실새내,송파구,437601.8954430516,3131997.529137589,2473720.235954311,26,신정차량사업소,2,217,0.2707641196013289,0.0082226815545566,0.6796041577902294
2호선,종합운동장,송파구,437601.8954430516,3131997.529137589,2473720.235954311,27,신정차량사업소,2,218,0.2906976744186046,0.0351363349852903,0.6796041577902294
2호선,종합운동장,송파구,437601.8954430516,3131997.529137589,2473720.235954311,308,김포차량사업소,9,4130,0.7807881773399016,,0.6796041577902294
9호선,종합운동장,송파구,437601.8954430516,3131997.529137589,2473720.235954311,27,신정차량사업소,2,218,0.2906976744186046,0.0351363349852903,0.6796041577902294
9호선,종합운동장,송파구,437601.8954430516,3131997.529137589,2473720.235954311,308,김포차량사업소,9,4130,0.7807881773399016,,0.6796041577902294
3호선,가락시장,송파구,437601.8954430516,3131997.529137589,2473720.235954311,93,수서차량사업소,3,340,0.0869565217391305,0.0027180279024978,0.6796041577902294
3호선,가락시장,송파구,437601.8954430516,3131997.529137589,2473720.235954311,268,모란차량사업소,8,2818,0.423728813559322,0.0207152555140373,0.6796041577902294
8호선,가락시장,송파구,437601.8954430516,3131997.529137589,2473720.235954311,93,수서차량사업소,3,340,0.0869565217391305,0.0027180279024978,0.6796041577902294
8호선,가락시장,송파구,437601.8954430516,3131997.529137589,2473720.235954311,268,모란차량사업소,8,2818,0.423728813559322,0.0207152555140373,0.6796041577902294
3호선,경찰병원,송파구,437601.8954430516,3131997.529137589,2473720.235954311,94,수서차량사업소,3,341,0.0434782608695654,0.0122181825712285,0.6796041577902294
3호선,오금,송파구,437601.8954430516,3131997.529137589,2473720.235954311,95,수서차량사업소,3,342,0.0,,0.6796041577902294
3호선,오금,송파구,437601.8954430516,3131997.529137589,2473720.235954311,174,고덕차량사업소,5,2558,0.0931034482758619,0.0035437906652567,0.6796041577902294
5호선,오금,송파구,437601.8954430516,3131997.529137589,2473720.235954311,95,수서차량사업소,3,342,0.0,,0.6796041577902294
5호선,오금,송파구,437601.8954430516,3131997.529137589,2473720.235954311,174,고덕차량사업소,5,2558,0.0931034482758619,0.0035437906652567,0.6796041577902294
5호선,올림픽공원,송파구,437601.8954430516,3131997.529137589,2473720.235954311,172,고덕차량사업소,5,2556,0.1517241379310344,0.0048147922844247,0.6796041577902294
5호선,올림픽공원,송파구,437601.8954430516,3131997.529137589,2473720.235954311,314,김포차량사업소,9,4136,0.9334975369458128,,0.6796041577902294
9호선,올림픽공원,송파구,437601.8954430516,3131997.529137589,2473720.235954311,172,고덕차량사업소,5,2556,0.1517241379310344,0.0048147922844247,0.6796041577902294
9호선,올림픽공원,송파구,437601.8954430516,3131997.529137589,2473720.235954311,314,김포차량사업소,9,4136,0.9334975369458128,,0.6796041577902294
5호선,방이,송파구,437601.8954430516,3131997.529137589,2473720.235954311,173,고덕차량사업소,5,2557,0.1241379310344825,0.0072195998286348,0.6796041577902294
5호선,개롱,송파구,437601.8954430516,3131997.529137589,2473720.235954311,175,고덕차량사업소,5,2559,0.0620689655172412,0.0051771960047578,0.6796041577902294
5호선,거여,송파구,437601.8954430516,3131997.529137589,2473720.235954311,176,고덕차량사업소,5,2560,0.0310344827586206,0.003750878505447,0.6796041577902294
5호선,마천,송파구,437601.8954430516,3131997.529137589,2473720.235954311,177,고덕차량사업소,5,2561,0.0,0.0038828970035683,0.6796041577902294
8호선,몽촌토성,송파구,437601.8954430516,3131997.529137589,2473720.235954311,264,모란차량사업소,8,2814,0.2146892655367231,0.004659476404282,0.6796041577902294
8호선,석촌,송파구,437601.8954430516,3131997.529137589,2473720.235954311,266,모란차량사업소,8,2816,0.327683615819209,0.0088012332080883,0.6796041577902294
8호선,석촌,송파구,437601.8954430516,3131997.529137589,2473720.235954311,311,김포차량사업소,9,4133,0.8596059113300494,,0.6796041577902294
9호선,석촌,송파구,437601.8954430516,3131997.529137589,2473720.235954311,266,모란차량사업소,8,2816,0.327683615819209,0.0088012332080883,0.6796041577902294
9호선,석촌,송파구,437601.8954430516,3131997.529137589,2473720.235954311,311,김포차량사업소,9,4133,0.8596059113300494,,0.6796041577902294
8호선,송파,송파구,437601.8954430516,3131997.529137589,2473720.235954311,267,모란차량사업소,8,2817,0.3785310734463277,0.0064805550989556,0.6796041577902294
8호선,문정,송파구,437601.8954430516,3131997.529137589,2473720.235954311,269,모란차량사업소,8,2819,0.4745762711864407,0.0038828970035683,0.6796041577902294
8호선,장지,송파구,437601.8954430516,3131997.529137589,2473720.235954311,270,모란차량사업소,8,2820,0.5254237288135594,0.0437602492302156,0.6796041577902294
8호선,복정,송파구,437601.8954430516,3131997.529137589,2473720.235954311,271,모란차량사업소,8,2821,0.5762711864406779,0.0064714950059473,0.6796041577902294
9호선,삼전,송파구,437601.8954430516,3131997.529137589,2473720.235954311,309,김포차량사업소,9,4131,0.8152709359605913,,0.6796041577902294
9호선,석촌고분,송파구,437601.8954430516,3131997.529137589,2473720.235954311,310,김포차량사업소,9,4132,0.8349753694581282,,0.6796041577902294
9호선,송파나루,송파구,437601.8954430516,3131997.529137589,2473720.235954311,312,김포차량사업소,9,4134,0.8793103448275863,,0.6796041577902294
9호선,한성백제,송파구,437601.8954430516,3131997.529137589,2473720.235954311,313,김포차량사업소,9,4135,0.8990147783251231,,0.6796041577902294
2호선,삼성,강남구,528831.09552666,3443026.025616755,2719377.3536694758,28,신정차량사업소,2,219,0.3073089700996677,,0.536091259154454
2호선,선릉,강남구,528831.09552666,3443026.025616755,2719377.3536694758,29,신정차량사업소,2,220,0.3289036544850498,0.0405633306972777,0.536091259154454
2호선,역삼,강남구,528831.09552666,3443026.025616755,2719377.3536694758,30,신정차량사업소,2,221,0.3488372093023255,0.0888821010096826,0.536091259154454
2호선,강남,강남구,528831.09552666,3443026.025616755,2719377.3536694758,31,신정차량사업소,2,222,0.362126245847176,0.0237141462997933,0.536091259154454
3호선,압구정,강남구,528831.09552666,3443026.025616755,2719377.3536694758,79,수서차량사업소,3,326,1.0,0.0152313106459975,0.536091259154454
3호선,신사,강남구,528831.09552666,3443026.025616755,2719377.3536694758,80,수서차량사업소,3,327,0.9184782608695652,0.0446481383450316,0.536091259154454
3호선,매봉,강남구,528831.09552666,3443026.025616755,2719377.3536694758,86,수서차량사업소,3,333,0.5054347826086958,0.0086951006899908,0.536091259154454
3호선,도곡,강남구,528831.09552666,3443026.025616755,2719377.3536694758,87,수서차량사업소,3,334,0.4619565217391305,0.0127255477796947,0.536091259154454
3호선,대치,강남구,528831.09552666,3443026.025616755,2719377.3536694758,88,수서차량사업소,3,335,0.4184782608695653,,0.536091259154454
3호선,학여울,강남구,528831.09552666,3443026.025616755,2719377.3536694758,89,수서차량사업소,3,336,0.375,,0.536091259154454
3호선,대청,강남구,528831.09552666,3443026.025616755,2719377.3536694758,90,수서차량사업소,3,337,0.3260869565217391,0.0064210173449009,0.536091259154454
3호선,일원,강남구,528831.09552666,3443026.025616755,2719377.3536694758,91,수서차량사업소,3,338,0.2608695652173915,0.1317829357031085,0.536091259154454
3호선,수서,강남구,528831.09552666,3443026.025616755,2719377.3536694758,92,수서차량사업소,3,339,0.1630434782608695,0.0291113731347533,0.536091259154454
7호선,청담,강남구,528831.09552666,3443026.025616755,2719377.3536694758,239,도봉차량사업소,7,2731,0.9523809523809524,0.0887992658736065,0.536091259154454
7호선,강남구청,강남구,528831.09552666,3443026.025616755,2719377.3536694758,240,도봉차량사업소,7,2732,1.0,0.1520413036697259,0.536091259154454
7호선,학동,강남구,528831.09552666,3443026.025616755,2719377.3536694758,241,천왕차량사업소,7,2733,1.0,0.0701212369874414,0.536091259154454
7호선,논현,강남구,528831.09552666,3443026.025616755,2719377.3536694758,242,천왕차량사업소,7,2734,0.9563318777292577,0.0755236410184062,0.536091259154454
9호선,언주,강남구,528831.09552666,3443026.025616755,2719377.3536694758,304,김포차량사업소,9,4126,0.684729064039409,,0.536091259154454
9호선,선정릉,강남구,528831.09552666,3443026.025616755,2719377.3536694758,305,김포차량사업소,9,4127,0.706896551724138,,0.536091259154454
9호선,삼성중앙,강남구,528831.09552666,3443026.025616755,2719377.3536694758,306,김포차량사업소,9,4128,0.726600985221675,,0.536091259154454
9호선,봉은사,강남구,528831.09552666,3443026.025616755,2719377.3536694758,307,김포차량사업소,9,4129,0.746305418719212,,0.536091259154454
2호선,교대,서초구,241947.33621659732,1405800.6274749895,1198334.4340313824,32,신정차량사업소,2,223,0.3820598006644518,0.024750879799746,0.4932431889254218
2호선,교대,서초구,241947.33621659732,1405800.6274749895,1198334.4340313824,83,수서차량사업소,3,330,0.7173913043478262,0.1036824100882841,0.4932431889254218
3호선,교대,서초구,241947.33621659732,1405800.6274749895,1198334.4340313824,32,신정차량사업소,2,223,0.3820598006644518,0.024750879799746,0.4932431889254218
3호선,교대,서초구,241947.33621659732,1405800.6274749895,1198334.4340313824,83,수서차량사업소,3,330,0.7173913043478262,0.1036824100882841,0.4932431889254218
2호선,서초,서초구,241947.33621659732,1405800.6274749895,1198334.4340313824,33,신정차량사업소,2,224,0.3936877076411959,0.0239393543260002,0.4932431889254218
