차량기지명,IC명,거리(km)
군자차량사업소,성남IC,15.268750145454513
창동차량사업소,서하남IC,15.313934794039469
신내차량사업소,송파IC,15.338106850466199
방화차량사업소,금천IC,15.412112942700531
천왕차량사업소,도화IC,15.428493233640921
신내차량사업소,송파IC,15.428990356524917
수서차량사업소,덕소삼패IC,15.492563044467277
고덕차량사업소,성남IC,15.63617233468265
천왕차량사업소,자유로IC,15.715107206640548
고덕차량사업소,양재IC,16.005744691443212
신정차량사업소,서인천IC,16.054361931852547
신정차량사업소,산본IC,16.12162172389739
도봉차량사업소,토평IC,16.177031694409695
도봉차량사업소,토평IC,16.240752308715347
군자차량사업소,대왕판교IC,16.386372696554034
방화차량사업소,가좌IC,16.654852690546388
신정차량사업소,양재IC,16.6937662943009
신정차량사업소,가좌IC,16.808711424710403
수서차량사업소,평촌IC,16.84382684879122
지축차량사업소,계양IC,16.871989739702656
신정차량사업소,평촌IC,16.984507381065388
지축차량사업소,부천IC,17.061593409182162
수서차량사업소,퇴계원IC,17.305281798948783
신내차량사업소,양재IC,17.42584524199221
천왕차량사업소,양재IC,17.432519223269043
도봉차량사업소,강일IC,17.544222325358106
천왕차량사업소,일산IC,17.592427022060185
신정차량사업소,도화IC,17.673985212640634
도봉차량사업소,강일IC,17.68876976014432
군자차량사업소,금천IC,17.765831016499956
도봉차량사업소,선동IC,17.808789487136423
군자차량사업소,판교IC,17.86724673202943
신정차량사업소,안산IC,18.330255095288877
도봉차량사업소,미사IC,18.366723051430508
신정차량사업소,안산IC,18.371114124742302
천왕차량사업소,군포IC,18.381592399196208
신내차량사업소,화도IC,18.44044969324104
창동차량사업소,송파IC,18.467679018221087
신정차량사업소,서안산IC,18.48764100950524
고덕차량사업소,대왕판교IC,18.533718380609876
천왕차량사업소,군포IC,18.541575288726108
창동차량사업소,송파IC,18.572303909978817
신정차량사업소,서안산IC,18.62026167849549
방화차량사업소,도화IC,18.628535327168397
천왕차량사업소,동군포IC,18.684192661164825
천왕차량사업소,동군포IC,18.78275655964147
도봉차량사업소,덕소삼패IC,18.79892239941229
수서차량사업소,금천IC,19.017089176387074
고덕차량사업소,서종IC,19.1826306213793
수서차량사업소,별내IC,19.267981278488914
고덕차량사업소,판교IC,19.468917060441605
수서차량사업소,산본IC,19.518726612000748
창동차량사업소,양재IC,19.578065833804427
지축차량사업소,중동IC,20.150873449257308
지축차량사업소,부평IC,20.23459329888973
천왕차량사업소,부곡IC,20.238504786760306
천왕차량사업소,부곡IC,20.28136817060276
지축차량사업소,별내IC,20.352641929702717
도봉차량사업소,상일IC,20.40955250771401
신내차량사업소,성남IC,20.48799054113484
창동차량사업소,화도IC,20.49747424774658
도봉차량사업소,상일IC,20.497767846602418
군자차량사업소,평촌IC,20.6322521693962
방화차량사업소,광명역IC,21.02294013563694
수서차량사업소,북수원IC,21.094116569761447
신정차량사업소,군포IC,21.152725487483
수서차량사업소,북수원IC,21.16039662669048
수서차량사업소,동수원IC,21.185254268377037
지축차량사업소,금천IC,21.244146248885293
신정차량사업소,동군포IC,21.27217096073971
수서차량사업소,동수원IC,21.30168397912326
신정차량사업소,군포IC,21.30576093707598
신정차량사업소,동군포IC,21.373739656282403
수서차량사업소,광명역IC,21.636912537002786
방화차량사업소,목감IC,21.67536029974007
