호선,역명,IC명,거리(km)
8호선,천호,서하남IC,3.9405711537775465
4호선,상계,별내IC,3.9433475790095174
8호선,문정,서하남IC,3.9676894401220792
3호선,대치,양재IC,3.9682059130708476
5호선,천호,서하남IC,3.972622762422778
5호선,미사,덕소삼패IC,3.9752368841162844
5호선,하남검단산,상일IC,3.9791528969072125
8호선,석촌,송파IC,3.9949270176892058
3호선,일원,송파IC,4.00051968900926
5호선,하남검단산,상일IC,4.004822796307833
8호선,석촌,서하남IC,4.0068187160968884
8호선,단대오거리,송파IC,4.032527788367908
8호선,신흥,송파IC,4.033897379222959
2호선,강남,양재IC,4.067444594414673
6호선,신내,퇴계원IC,4.0711628590577424
8호선,남위례,성남IC,4.074854296275538
8호선,남한산성입구,성남IC,4.082687107288395
5호선,하남풍산,강일IC,4.146706626225064
3호선,교대,양재IC,4.147669930872934
8호선,석촌,서하남IC,4.156535232885216
8호선,신흥,송파IC,4.160994847209784
3호선,일원,송파IC,4.170041596007823
8호선,잠실,서하남IC,4.1799783838362545
5호선,명일,선동IC,4.1813979289807355
8호선,단대오거리,송파IC,4.182381131155962
2호선,교대,양재IC,4.1848809444089206
2호선,역삼,양재IC,4.190985475737475
8호선,암사,강일IC,4.2020907563213346
8호선,수진,송파IC,4.2088582061493245
2호선,신림,금천IC,4.303092689907826
2호선,잠실나루,서하남IC,4.311052159337226
8호선,모란,대왕판교IC,4.313680876137458
8호선,수진,송파IC,4.315579255606061
2호선,잠실새내,서하남IC,4.320522023975631
9호선,김포공항,김포IC,4.339322985230764
8호선,잠실,서하남IC,4.346262144275929
8호선,장지,서하남IC,4.366418553338798
3호선,일원,양재IC,4.371649027310914
5호선,김포공항,김포IC,4.37410936383593
2호선,서초,양재IC,4.382824540985451
5호선,명일,서하남IC,4.385113669300613
5호선,강동,상일IC,4.390941678402387
8호선,장지,서하남IC,4.40405262007892
2호선,방배,양재IC,4.411071309339247
9호선,개화,자유로IC,4.4114148198254295
8호선,암사,강일IC,4.430975044234144
6호선,봉화산,구리IC,4.435002125495675
5호선,굽은다리,토평IC,4.44618835481554
5호선,고덕,미사IC,4.451301671924938
5호선,굽은다리,토평IC,4.462438642319593
5호선,명일,서하남IC,4.46885472237481
5호선,둔촌동,상일IC,4.477968496888542
2호선,잠실나루,서하남IC,4.4823904252744
2호선,잠실새내,서하남IC,4.491873045740078
3호선,학여울,양재IC,4.498398587943556
8호선,모란,송파IC,4.504069594526049
5호선,길동,강일IC,4.505645221675324
5호선,강동,상일IC,4.511343315528856
2호선,잠실,서하남IC,4.538371139642218
6호선,신내,남양주IC,4.5467436547638265
7호선,온수,시흥IC,4.553344799184525
8호선,암사,토평IC,4.558176450270603
8호선,모란,송파IC,4.57695048634081
8호선,암사,상일IC,4.5836393700655265
6호선,봉화산,퇴계원IC,4.587096566689805
5호선,올림픽공원,송파IC,4.587398242474553
2호선,선릉,양재IC,4.594376326650405
6호선,봉화산,구리IC,4.595578479464077
8호선,암사,토평IC,4.602492122128341
5호선,방화,자유로IC,4.606155160561375
5호선,하남시청,미사IC,4.6117306635571
5호선,김포공항,부천IC,4.613714510379484
6호선,신내,남양주IC,4.616294808345822
5호선,둔촌동,상일IC,4.621225848082827
9호선,김포공항,부천IC,4.631835682036483
5호선,올림픽공원,송파IC,4.651487796515542
8호선,암사,상일IC,4.65263620926143
5호선,길동,강일IC,4.661512964958474
4호선,남태령,양재IC,4.673483815544281
9호선,공항시장,김포IC,4.674642839969363
7호선,신풍,금천IC,4.67931183093781
2호선,잠실,서하남IC,4.702811717450864
9호선,신방화,김포IC,4.705016461776166
8호선,암사,서하남IC,4.706513892233289
3호선,대청,양재IC,4.729398067155534
5호선,굽은다리,선동IC,4.732072996052297
8호선,모란,판교IC,4.740868514320149
5호선,고덕,서하남IC,4.749534384010391
3호선,대청,송파IC,4.757901195309568
8호선,복정,성남IC,4.774227880348508
