차량기지,구분,호선,전철역코드,역명,수송비용,유휴공간,교통량
군자차량사업소,동대문구,1,156,신설동,0.7564102564,,0.1694387948
신정차량사업소,동대문구,2,246,신설동,0.9003322259,,0.1694387948
군자차량사업소,동대문구,1,157,제기동,0.8717948718,,0.1694387948
군자차량사업소,동대문구,1,158,청량리,1,,0.1694387948
신정차량사업소,동대문구,2,250,용두,0.8803986711,,0.1694387948
고덕차량사업소,동대문구,5,2544,장한평,0.9,0.02356918481,0.1694387948
신정차량사업소,성동구,2,207,상왕십리,0.08139534884,0.01263235825,0.6102433417
신정차량사업소,성동구,2,208,왕십리,0.09468438538,0.02711815267,0.6102433417
고덕차량사업소,성동구,5,2541,왕십리,1,0.1040836428,0.6102433417
신정차량사업소,성동구,2,208,왕십리,0.09468438538,0.02711815267,0.6102433417
고덕차량사업소,성동구,5,2541,왕십리,1,0.1040836428,0.6102433417
신정차량사업소,성동구,2,209,한양대,0.1112956811,0.02444154234,0.6102433417
신정차량사업소,성동구,2,210,뚝섬,0.1295681063,0.01366650315,0.6102433417
신정차량사업소,성동구,2,211,성수,0.1428571429,0.02226712002,0.6102433417
신정차량사업소,성동구,2,244,용답,0.8488372093,,0.6102433417
신정차량사업소,성동구,2,245,신답,0.865448505,,0.6102433417
지축차량사업소,성동구,3,324,금호,0.9548022599,0.018535656,0.6102433417
지축차량사업소,성동구,3,325,옥수,1,0.08117066756,0.6102433417
방화차량사업소,성동구,5,2539,신금호,0.9698996656,0.008107488943,0.6102433417
방화차량사업소,성동구,5,2540,행당,1,0.02046027861,0.6102433417
고덕차량사업소,성동구,5,2542,마장,0.975862069,0.003882897004,0.6102433417
고덕차량사업소,성동구,5,2543,답십리,0.9413793103,0.03883155863,0.6102433417
신정차량사업소,광진구,2,212,건대입구,0.1627906977,0.03909300703,0.6518132049
도봉차량사업소,광진구,7,2729,건대입구,0.8225108225,0.1518212728,0.6518132049
신정차량사업소,광진구,2,212,건대입구,0.1627906977,0.03909300703,0.6518132049
도봉차량사업소,광진구,7,2729,건대입구,0.8225108225,0.1518212728,0.6518132049
신정차량사업소,광진구,2,213,구의,0.1893687708,0.01724135699,0.6518132049
신정차량사업소,광진구,2,214,강변,0.2043189369,0.01003081726,0.6518132049
