,차량기지,호선,역명,전철역코드,수송비용,유휴공간,교통량
0,군자차량사업소,1,서울,0150,0.0,0.005824345505352574,0.951468330211507
1,군자차량사업소,1,시청,0151,0.14102564102564105,0.022434084587616927,0.951468330211507
2,군자차량사업소,1,종각,0152,0.2692307692307693,0.03647205155451782,0.9043274139220052
3,군자차량사업소,1,종로3가,0153,0.3717948717948718,0.01928505511772297,0.9043274139220052
4,군자차량사업소,1,종로5가,0154,0.4871794871794872,0.005344160575911284,0.9043274139220052
5,군자차량사업소,1,동대문,0155,0.5897435897435898,0.0036861635553875846,0.9043274139220052
6,군자차량사업소,1,동묘앞,0159,0.6666666666666667,0.0022909092321053456,0.9043274139220052
7,군자차량사업소,1,신설동,0156,0.7564102564102565,,0.16943879478748802
8,군자차량사업소,1,제기동,0157,0.8717948717948719,,0.16943879478748802
9,군자차량사업소,1,청량리,0158,1.0,,0.16943879478748802
10,신정차량사업소,2,시청,0201,0.0,,0.951468330211507
11,신정차량사업소,2,을지로입구,0202,0.011627906976744184,0.09349368835092071,0.951468330211507
12,신정차량사업소,2,을지로3가,0203,0.02491694352159468,0.021519015193775977,0.951468330211507
13,신정차량사업소,2,을지로4가,0204,0.03488372093023256,0.02090810606521455,0.951468330211507
14,신정차량사업소,2,동대문역사문화공원,0205,0.05149501661129568,0.029669216004266016,0.951468330211507
15,신정차량사업소,2,신당,0206,0.06644518272425248,0.003341880021071188,0.951468330211507
16,신정차량사업소,2,상왕십리,0207,0.0813953488372093,0.012632358251609138,0.6102433416671356
17,신정차량사업소,2,왕십리,0208,0.0946843853820598,0.027118152672921586,0.6102433416671356
18,신정차량사업소,2,한양대,0209,0.11129568106312292,0.024441542338461776,0.6102433416671356
19,신정차량사업소,2,뚝섬,0210,0.12956810631229235,0.013666503153559518,0.6102433416671356
20,신정차량사업소,2,성수,0211,0.14285714285714282,0.022267120016463485,0.6102433416671356
21,신정차량사업소,2,건대입구,0212,0.1627906976744186,0.03909300703192648,0.6518132049231067
22,신정차량사업소,2,구의,0213,0.1893687707641196,0.01724135699484481,0.6518132049231067
23,신정차량사업소,2,강변,0214,0.2043189368770764,0.010030817259218321,0.6518132049231067
24,신정차량사업소,2,잠실나루,0215,0.23421926910298999,0.05092548850080053,0.6796041577902294
25,신정차량사업소,2,잠실,0216,0.25083056478405313,0.07368185353971363,0.6796041577902294
26,신정차량사업소,2,잠실새내,0217,0.2707641196013289,0.008222681554556646,0.6796041577902294
27,신정차량사업소,2,종합운동장,0218,0.2906976744186046,0.0351363349852903,0.6796041577902294
28,신정차량사업소,2,삼성,0219,0.30730897009966773,,0.536091259154454
29,신정차량사업소,2,선릉,0220,0.3289036544850498,0.0405633306972777,0.536091259154454
30,신정차량사업소,2,역삼,0221,0.34883720930232553,0.08888210100968266,0.536091259154454
31,신정차량사업소,2,강남,0222,0.36212624584717606,0.023714146299793303,0.536091259154454
32,신정차량사업소,2,교대,0223,0.3820598006644518,0.02475087979974606,0.49324318892542185
33,신정차량사업소,2,서초,0224,0.3936877076411959,0.02393935432600027,0.49324318892542185
34,신정차량사업소,2,방배,0225,0.42192691029900325,0.01579433071151499,0.49324318892542185
35,신정차량사업소,2,사당,0226,0.44850498338870426,0.06513430293585844,0.0
36,신정차량사업소,2,낙성대,0227,0.47674418604651153,0.022176519086380225,0.8425072150362158
37,신정차량사업소,2,서울대입구,0228,0.49335548172757465,0.009047150018314333,0.8425072150362158
38,신정차량사업소,2,봉천,0229,0.5099667774086378,0.0058787060634025315,0.8425072150362158
39,신정차량사업소,2,신림,0230,0.5282392026578072,0.008542373407850442,0.8425072150362158
40,신정차량사업소,2,신대방,0231,0.5581395348837209,0.037922960734851206,0.0
41,신정차량사업소,2,구로디지털단지,0232,0.5764119601328903,0.03151100348295861,1.0
42,신정차량사업소,2,대림,0233,0.5946843853820597,0.021034947367331115,1.0
43,신정차량사업소,2,신도림,0234,0.6245847176079734,0.05236474899012321,1.0
44,신정차량사업소,2,문래,0235,0.6445182724252491,0.013605671100503614,0.6840979797898596
45,신정차량사업소,2,영등포구청,0236,0.6594684385382059,0.02167691967192109,0.6840979797898596
46,신정차량사업소,2,당산,0237,0.6777408637873753,0.02340351453950783,0.6840979797898596
47,신정차량사업소,2,합정,0238,0.7109634551495015,0.05063685982353528,0.14617382007026114
48,신정차량사업소,2,홍대입구,0239,0.7292358803986709,0.027402898453183267,0.14617382007026114
49,신정차량사업소,2,신촌,0240,0.7508305647840531,0.027547859941316487,0.14617382007026114
50,신정차량사업소,2,이대,0241,0.7641196013289036,0.016800001035439206,0.14617382007026114
51,신정차량사업소,2,아현,0242,0.7790697674418603,0.018331156753846334,0.14617382007026114
52,신정차량사업소,2,충정로,0243,0.7923588039867109,0.007910755495269985,0.7768523952312429
53,신정차량사업소,2,시청,0201,0.8106312292358803,,0.951468330211507
54,신정차량사업소,2,용답,0244,0.8488372093023255,,0.6102433416671356
55,신정차량사업소,2,신답,0245,0.8654485049833887,,0.6102433416671356
56,신정차량사업소,2,용두,0250,0.8803986710963454,,0.16943879478748802
57,신정차량사업소,2,신설동,0246,0.9003322259136212,,0.16943879478748802
58,신정차량사업소,2,도림천,0247,0.9169435215946843,,1.0
59,신정차량사업소,2,양천구청,0248,0.9451827242524915,0.0058088139173383,0.5489778363734295
60,신정차량사업소,2,신정네거리,0249,0.9767441860465115,0.005494299260049262,0.5489778363734295
61,신정차량사업소,2,까치산,0200,0.9999999999999999,,
62,지축차량사업소,3,지축,0309,0.0,,
