Unnamed: 0,차량기지,호선_x,역명,전철역코드,수송비용,유휴공간,교통량,호선_y,역주소
0,군자차량사업소,1,서울,150,0.0,0.0058243455053525,0.951468330211507,1호선,중구
5,군자차량사업소,1,동대문,155,0.5897435897435898,0.0036861635553875,0.9043274139220052,1호선,종로구
4,군자차량사업소,1,종로5가,154,0.4871794871794872,0.0053441605759112,0.9043274139220052,1호선,종로구
6,군자차량사업소,1,동묘앞,159,0.6666666666666667,0.0022909092321053,0.9043274139220052,1호선,종로구
6,군자차량사업소,1,동묘앞,159,0.6666666666666667,0.0022909092321053,0.9043274139220052,6호선,종로구
7,군자차량사업소,1,신설동,156,0.7564102564102565,,0.169438794787488,1호선,동대문구
7,군자차량사업소,1,신설동,156,0.7564102564102565,,0.169438794787488,2호선,동대문구
3,군자차량사업소,1,종로3가,153,0.3717948717948718,0.0192850551177229,0.9043274139220052,5호선,종로구
3,군자차량사업소,1,종로3가,153,0.3717948717948718,0.0192850551177229,0.9043274139220052,3호선,종로구
5,군자차량사업소,1,동대문,155,0.5897435897435898,0.0036861635553875,0.9043274139220052,4호선,종로구
3,군자차량사업소,1,종로3가,153,0.3717948717948718,0.0192850551177229,0.9043274139220052,1호선,종로구
8,군자차량사업소,1,제기동,157,0.8717948717948719,,0.169438794787488,1호선,동대문구
9,군자차량사업소,1,청량리,158,1.0,,0.169438794787488,1호선,동대문구
1,군자차량사업소,1,시청,151,0.141025641025641,0.0224340845876169,0.951468330211507,2호선,중구
1,군자차량사업소,1,시청,151,0.141025641025641,0.0224340845876169,0.951468330211507,1호선,중구
0,군자차량사업소,1,서울,150,0.0,0.0058243455053525,0.951468330211507,4호선,용산구
2,군자차량사업소,1,종각,152,0.2692307692307693,0.0364720515545178,0.9043274139220052,1호선,종로구
35,신정차량사업소,2,사당,226,0.4485049833887042,0.0651343029358584,0.0,4호선,동작구
36,신정차량사업소,2,낙성대,227,0.4767441860465115,0.0221765190863802,0.8425072150362158,2호선,관악구
35,신정차량사업소,2,사당,226,0.4485049833887042,0.0651343029358584,0.0,2호선,동작구
34,신정차량사업소,2,방배,225,0.4219269102990032,0.0157943307115149,0.4932431889254218,2호선,서초구
37,신정차량사업소,2,서울대입구,228,0.4933554817275746,0.0090471500183143,0.8425072150362158,2호선,관악구
38,신정차량사업소,2,봉천,229,0.5099667774086378,0.0058787060634025,0.8425072150362158,2호선,관악구
33,신정차량사업소,2,서초,224,0.3936877076411959,0.0239393543260002,0.4932431889254218,2호선,서초구
32,신정차량사업소,2,교대,223,0.3820598006644518,0.024750879799746,0.4932431889254218,2호선,서초구
39,신정차량사업소,2,신림,230,0.5282392026578072,0.0085423734078504,0.8425072150362158,2호선,관악구
31,신정차량사업소,2,강남,222,0.362126245847176,0.0237141462997933,0.536091259154454,2호선,강남구
30,신정차량사업소,2,역삼,221,0.3488372093023255,0.0888821010096826,0.536091259154454,2호선,강남구
29,신정차량사업소,2,선릉,220,0.3289036544850498,0.0405633306972777,0.536091259154454,2호선,강남구
28,신정차량사업소,2,삼성,219,0.3073089700996677,,0.536091259154454,2호선,강남구
27,신정차량사업소,2,종합운동장,218,0.2906976744186046,0.0351363349852903,0.6796041577902294,9호선,송파구
27,신정차량사업소,2,종합운동장,218,0.2906976744186046,0.0351363349852903,0.6796041577902294,2호선,송파구
25,신정차량사업소,2,잠실,216,0.2508305647840531,0.0736818535397136,0.6796041577902294,8호선,송파구
25,신정차량사업소,2,잠실,216,0.2508305647840531,0.0736818535397136,0.6796041577902294,2호선,송파구
24,신정차량사업소,2,잠실나루,215,0.2342192691029899,0.0509254885008005,0.6796041577902294,2호선,송파구
23,신정차량사업소,2,강변,214,0.2043189368770764,0.0100308172592183,0.6518132049231067,2호선,광진구
22,신정차량사업소,2,구의,213,0.1893687707641196,0.0172413569948448,0.6518132049231067,2호선,광진구
32,신정차량사업소,2,교대,223,0.3820598006644518,0.024750879799746,0.4932431889254218,3호선,서초구
40,신정차량사업소,2,신대방,231,0.5581395348837209,0.0379229607348512,0.0,2호선,동작구
45,신정차량사업소,2,영등포구청,236,0.6594684385382059,0.021676919671921,0.6840979797898596,5호선,영등포구
42,신정차량사업소,2,대림,233,0.5946843853820597,0.0210349473673311,1.0,2호선,구로구
61,신정차량사업소,2,까치산,200,1.0,,,5호선,강서구
60,신정차량사업소,2,신정네거리,249,0.9767441860465116,0.0054942992600492,0.5489778363734295,2호선,양천구
59,신정차량사업소,2,양천구청,248,0.9451827242524916,0.0058088139173383,0.5489778363734295,2호선,양천구
58,신정차량사업소,2,도림천,247,0.9169435215946844,,1.0,2호선,구로구
56,신정차량사업소,2,용두,250,0.8803986710963454,,0.169438794787488,2호선,동대문구
55,신정차량사업소,2,신답,245,0.8654485049833887,,0.6102433416671356,2호선,성동구
54,신정차량사업소,2,용답,244,0.8488372093023255,,0.6102433416671356,2호선,성동구
52,신정차량사업소,2,충정로,243,0.7923588039867109,0.0079107554952699,0.7768523952312429,5호선,서대문구
52,신정차량사업소,2,충정로,243,0.7923588039867109,0.0079107554952699,0.7768523952312429,2호선,서대문구
51,신정차량사업소,2,아현,242,0.7790697674418603,0.0183311567538463,0.1461738200702611,2호선,마포구
50,신정차량사업소,2,이대,241,0.7641196013289036,0.0168000010354392,0.1461738200702611,2호선,마포구
49,신정차량사업소,2,신촌,240,0.7508305647840531,0.0275478599413164,0.1461738200702611,2호선,마포구
48,신정차량사업소,2,홍대입구,239,0.7292358803986709,0.0274028984531832,0.1461738200702611,2호선,마포구
47,신정차량사업소,2,합정,238,0.7109634551495015,0.0506368598235352,0.1461738200702611,6호선,마포구
47,신정차량사업소,2,합정,238,0.7109634551495015,0.0506368598235352,0.1461738200702611,2호선,마포구
46,신정차량사업소,2,당산,237,0.6777408637873753,0.0234035145395078,0.6840979797898596,2호선,영등포구
21,신정차량사업소,2,건대입구,212,0.1627906976744186,0.0390930070319264,0.6518132049231067,7호선,광진구
45,신정차량사업소,2,영등포구청,236,0.6594684385382059,0.021676919671921,0.6840979797898596,2호선,영등포구
44,신정차량사업소,2,문래,235,0.6445182724252491,0.0136056711005036,0.6840979797898596,2호선,영등포구
43,신정차량사업소,2,신도림,234,0.6245847176079734,0.0523647489901232,1.0,2호선,구로구
42,신정차량사업소,2,대림,233,0.5946843853820597,0.0210349473673311,1.0,7호선,영등포구
41,신정차량사업소,2,구로디지털단지,232,0.5764119601328903,0.0315110034829586,1.0,2호선,구로구
21,신정차량사업소,2,건대입구,212,0.1627906976744186,0.0390930070319264,0.6518132049231067,2호선,광진구
26,신정차량사업소,2,잠실새내,217,0.2707641196013289,0.0082226815545566,0.6796041577902294,2호선,송파구
19,신정차량사업소,2,뚝섬,210,0.1295681063122923,0.0136665031535595,0.6102433416671356,2호선,성동구
10,신정차량사업소,2,시청,201,0.0,,0.951468330211507,1호선,중구
14,신정차량사업소,2,동대문역사문화공원,205,0.0514950166112956,0.029669216004266,0.951468330211507,2호선,중구
10,신정차량사업소,2,시청,201,0.0,,0.951468330211507,2호선,중구
53,신정차량사업소,2,시청,201,0.8106312292358803,,0.951468330211507,1호선,중구
13,신정차량사업소,2,을지로4가,204,0.0348837209302325,0.0209081060652145,0.951468330211507,5호선,중구
13,신정차량사업소,2,을지로4가,204,0.0348837209302325,0.0209081060652145,0.951468330211507,2호선,중구
53,신정차량사업소,2,시청,201,0.8106312292358803,,0.951468330211507,2호선,중구
15,신정차량사업소,2,신당,206,0.0664451827242524,0.0033418800210711,0.951468330211507,2호선,중구
15,신정차량사업소,2,신당,206,0.0664451827242524,0.0033418800210711,0.951468330211507,6호선,중구
12,신정차량사업소,2,을지로3가,203,0.0249169435215946,0.0215190151937759,0.951468330211507,3호선,중구
14,신정차량사업소,2,동대문역사문화공원,205,0.0514950166112956,0.029669216004266,0.951468330211507,5호선,중구
14,신정차량사업소,2,동대문역사문화공원,205,0.0514950166112956,0.029669216004266,0.951468330211507,4호선,중구
12,신정차량사업소,2,을지로3가,203,0.0249169435215946,0.0215190151937759,0.951468330211507,2호선,중구
11,신정차량사업소,2,을지로입구,202,0.0116279069767441,0.0934936883509207,0.951468330211507,2호선,중구
57,신정차량사업소,2,신설동,246,0.9003322259136212,,0.169438794787488,2호선,동대문구
16,신정차량사업소,2,상왕십리,207,0.0813953488372093,0.0126323582516091,0.6102433416671356,2호선,성동구
17,신정차량사업소,2,왕십리,208,0.0946843853820598,0.0271181526729215,0.6102433416671356,2호선,성동구
17,신정차량사업소,2,왕십리,208,0.0946843853820598,0.0271181526729215,0.6102433416671356,5호선,성동구
57,신정차량사업소,2,신설동,246,0.9003322259136212,,0.169438794787488,1호선,동대문구
20,신정차량사업소,2,성수,211,0.1428571428571428,0.0222671200164634,0.6102433416671356,2호선,성동구
18,신정차량사업소,2,한양대,209,0.1112956810631229,0.0244415423384617,0.6102433416671356,2호선,성동구
72,지축차량사업소,3,종로3가,319,0.7457627118644068,0.0573115597726693,0.9043274139220052,1호선,종로구
72,지축차량사업소,3,종로3가,319,0.7457627118644068,0.0573115597726693,0.9043274139220052,3호선,종로구
72,지축차량사업소,3,종로3가,319,0.7457627118644068,0.0573115597726693,0.9043274139220052,5호선,종로구
81,수서차량사업소,3,잠원,328,0.8695652173913044,,0.4932431889254218,3호선,서초구
82,수서차량사업소,3,고속터미널,329,0.8043478260869567,1.0,0.4932431889254218,7호선,서초구
82,수서차량사업소,3,고속터미널,329,0.8043478260869567,1.0,0.4932431889254218,3호선,서초구
63,지축차량사업소,3,구파발,310,0.0847457627118644,,0.8373622309937054,3호선,은평구
84,수서차량사업소,3,남부터미널,331,0.6684782608695653,,0.4932431889254218,3호선,서초구
76,지축차량사업소,3,약수,323,0.9096045197740114,0.004386379315031,0.951468330211507,6호선,중구
74,지축차량사업소,3,충무로,321,0.8192090395480226,,0.951468330211507,4호선,중구
74,지축차량사업소,3,충무로,321,0.8192090395480226,,0.951468330211507,3호선,중구
71,지축차량사업소,3,안국,318,0.6892655367231638,0.0270456719288549,0.9043274139220052,3호선,종로구
70,지축차량사업소,3,경복궁,317,0.6271186440677966,0.0033004624530331,0.9043274139220052,3호선,종로구
69,지축차량사업소,3,독립문,316,0.536723163841808,,0.7768523952312429,3호선,서대문구
68,지축차량사업소,3,무악재,315,0.4745762711864407,,0.7768523952312429,3호선,서대문구
67,지축차량사업소,3,홍제,314,0.423728813559322,0.1865033088753965,0.7768523952312429,3호선,서대문구
66,지축차량사업소,3,녹번,313,0.3333333333333333,0.0231122972642402,0.8373622309937054,3호선,은평구
77,지축차량사업소,3,금호,324,0.9548022598870056,0.0185356559960342,0.6102433416671356,3호선,성동구
78,지축차량사업소,3,옥수,325,1.0,0.0811706675605958,0.6102433416671356,3호선,성동구
65,지축차량사업소,3,불광,312,0.2711864406779661,0.0276889385324461,0.8373622309937054,6호선,은평구
65,지축차량사업소,3,불광,312,0.2711864406779661,0.0276889385324461,0.8373622309937054,3호선,은평구
79,수서차량사업소,3,압구정,326,1.0,0.0152313106459975,0.536091259154454,3호선,강남구
80,수서차량사업소,3,신사,327,0.9184782608695652,0.0446481383450316,0.536091259154454,3호선,강남구
64,지축차량사업소,3,연신내,311,0.1977401129943503,0.0168414186034772,0.8373622309937054,6호선,은평구
64,지축차량사업소,3,연신내,311,0.1977401129943503,0.0168414186034772,0.8373622309937054,3호선,은평구
62,지축차량사업소,3,지축,309,0.0,,,3호선,고양시
85,수서차량사업소,3,양재,332,0.5706521739130436,0.0346846246338751,0.4932431889254218,3호선,서초구
88,수서차량사업소,3,대치,335,0.4184782608695653,,0.536091259154454,3호선,강남구
75,지축차량사업소,3,동대입구,322,0.8700564971751412,0.0309350404274293,0.951468330211507,3호선,중구
83,수서차량사업소,3,교대,330,0.7173913043478262,0.1036824100882841,0.4932431889254218,2호선,서초구
83,수서차량사업소,3,교대,330,0.7173913043478262,0.1036824100882841,0.4932431889254218,3호선,서초구
93,수서차량사업소,3,가락시장,340,0.0869565217391305,0.0027180279024978,0.6796041577902294,3호선,송파구
93,수서차량사업소,3,가락시장,340,0.0869565217391305,0.0027180279024978,0.6796041577902294,8호선,송파구
92,수서차량사업소,3,수서,339,0.1630434782608695,0.0291113731347533,0.536091259154454,3호선,강남구
91,수서차량사업소,3,일원,338,0.2608695652173915,0.1317829357031085,0.536091259154454,3호선,강남구
76,지축차량사업소,3,약수,323,0.9096045197740114,0.004386379315031,0.951468330211507,3호선,중구
94,수서차량사업소,3,경찰병원,341,0.0434782608695654,0.0122181825712285,0.6796041577902294,3호선,송파구
73,지축차량사업소,3,을지로3가,320,0.7796610169491526,0.0073257323467323,0.951468330211507,2호선,중구
73,지축차량사업소,3,을지로3가,320,0.7796610169491526,0.0073257323467323,0.951468330211507,3호선,중구
89,수서차량사업소,3,학여울,336,0.375,,0.536091259154454,3호선,강남구
87,수서차량사업소,3,도곡,334,0.4619565217391305,0.0127255477796947,0.536091259154454,3호선,강남구
95,수서차량사업소,3,오금,342,0.0,,0.6796041577902294,3호선,송파구
95,수서차량사업소,3,오금,342,0.0,,0.6796041577902294,5호선,송파구
86,수서차량사업소,3,매봉,333,0.5054347826086958,0.0086951006899908,0.536091259154454,3호선,강남구
90,수서차량사업소,3,대청,337,0.3260869565217391,0.0064210173449009,0.536091259154454,3호선,강남구
100,창동차량사업소,4,쌍문,413,0.1545741324921135,0.0026144839824027,0.893402361869237,4호선,도봉구
98,창동차량사업소,4,노원,411,0.0694006309148265,0.0057997538243299,0.6811878481908147,7호선,노원구
99,창동차량사업소,4,창동,412,0.113564668769716,0.0119722657610025,0.893402361869237,4호선,도봉구
98,창동차량사업소,4,노원,411,0.0694006309148265,0.0057997538243299,0.6811878481908147,4호선,노원구
97,창동차량사업소,4,상계,410,0.0378548895899053,0.0501036086350452,0.6811878481908147,4호선,노원구
96,창동차량사업소,4,당고개,409,0.0,0.0606806200727654,0.6811878481908147,4호선,노원구
101,창동차량사업소,4,수유,414,0.2018927444794952,0.0153141457820737,,4호선,강북구
114,창동차량사업소,4,숙대입구,427,0.6529968454258674,0.0044653315541036,0.5956364104089458,4호선,용산구
103,창동차량사업소,4,미아사거리 ,416,0.2933753943217665,,,4호선,강북구
115,창동차량사업소,4,삼각지,428,0.6908517350157728,,0.5956364104089458,4호선,용산구
106,창동차량사업소,4,한성대입구,419,0.4100946372239747,,0.6474721246372384,4호선,성북구
121,창동차량사업소,4,남태령,434,1.0,,0.4932431889254218,4호선,서초구
119,창동차량사업소,4,총신대입구,432,0.8958990536277601,0.0460705729473388,0.0,4호선,동작구
107,창동차량사업소,4,혜화,420,0.4384858044164038,0.0048484440584557,0.9043274139220052,4호선,종로구
111,창동차량사업소,4,명동,424,0.5709779179810726,0.0033651774030925,0.951468330211507,4호선,중구
112,창동차량사업소,4,회현,425,0.5930599369085173,0.0170847468157008,0.951468330211507,4호선,중구
118,창동차량사업소,4,동작,431,0.8391167192429022,0.0060508478305607,0.0,4호선,동작구
117,창동차량사업소,4,이촌,430,0.753943217665615,0.0053454548749124,0.5956364104089458,4호선,용산구
116,창동차량사업소,4,신용산,429,0.7129337539432177,0.0253048397722551,0.5956364104089458,4호선,용산구
115,창동차량사업소,4,삼각지,428,0.6908517350157728,,0.5956364104089458,6호선,용산구
102,창동차량사업소,4,미아,415,0.2460567823343848,0.0170951012077104,,4호선,강북구
104,창동차량사업소,4,길음,417,0.334384858044164,0.0155367652102782,0.6474721246372384,4호선,성북구
105,창동차량사업소,4,성신여대입구,418,0.3785488958990536,0.0176749471602432,0.6474721246372384,4호선,성북구
110,창동차량사업소,4,충무로,423,0.5488958990536277,0.0355414505726626,0.951468330211507,3호선,중구
120,창동차량사업소,4,사당,433,0.9305993690851736,0.2942524064254179,0.0,2호선,동작구
120,창동차량사업소,4,사당,433,0.9305993690851736,0.2942524064254179,0.0,4호선,동작구
109,창동차량사업소,4,동대문역사문화공원,422,0.5078864353312303,0.0285742390492597,0.951468330211507,5호선,중구
109,창동차량사업소,4,동대문역사문화공원,422,0.5078864353312303,0.0285742390492597,0.951468330211507,4호선,중구
113,창동차량사업소,4,서울,426,0.6214511041009463,,0.5956364104089458,1호선,중구
108,창동차량사업소,4,동대문,421,0.4858044164037854,0.0367956263048151,0.9043274139220052,4호선,종로구
108,창동차량사업소,4,동대문,421,0.4858044164037854,0.0367956263048151,0.9043274139220052,1호선,종로구
109,창동차량사업소,4,동대문역사문화공원,422,0.5078864353312303,0.0285742390492597,0.951468330211507,2호선,중구
113,창동차량사업소,4,서울,426,0.6214511041009463,,0.5956364104089458,4호선,용산구
110,창동차량사업소,4,충무로,423,0.5488958990536277,0.0355414505726626,0.951468330211507,4호선,중구
129,방화차량사업소,5,화곡,2518,0.2575250836120401,0.0385882304214625,0.6317879623451481,5호선,강서구
149,방화차량사업소,5,청구,2538,0.939799331103679,0.0184075203949165,0.951468330211507,5호선,중구
145,방화차량사업소,5,광화문,2534,0.8060200668896321,0.1268853082826076,0.9043274139220052,5호선,종로구
144,방화차량사업소,5,서대문,2533,0.7692307692307692,0.0223965499165824,0.9043274139220052,5호선,종로구
142,방화차량사업소,5,애오개,2531,0.7157190635451505,0.00416764278383,0.1461738200702611,5호선,마포구
141,방화차량사업소,5,공덕,2530,0.6789297658862876,0.1408184370304121,0.1461738200702611,6호선,마포구
141,방화차량사업소,5,공덕,2530,0.6789297658862876,0.1408184370304121,0.1461738200702611,5호선,마포구
140,방화차량사업소,5,마포,2529,0.6521739130434783,0.0216225591138711,0.1461738200702611,5호선,마포구
125,방화차량사업소,5,송정,2514,0.1103678929765886,0.027087089496893,0.6317879623451481,5호선,강서구
139,방화차량사업소,5,여의나루,2528,0.5919732441471571,0.008833590683118,0.6840979797898596,5호선,영등포구
138,방화차량사업소,5,여의도,2527,0.5585284280936454,0.0196189842600298,0.6840979797898596,5호선,영등포구
126,방화차량사업소,5,마곡,2515,0.1471571906354515,,0.6317879623451481,5호선,강서구
137,방화차량사업소,5,신길,2526,0.5250836120401338,0.0090600930083262,0.6840979797898596,5호선,영등포구
127,방화차량사업소,5,발산,2516,0.1872909698996655,0.0223085375845015,0.6317879623451481,5호선,강서구
136,방화차량사업소,5,영등포시장,2525,0.4882943143812708,0.0048277352744366,0.6840979797898596,5호선,영등포구
134,방화차량사업소,5,양평,2523,0.431438127090301,,0.6840979797898596,5호선,영등포구
133,방화차량사업소,5,오목교,2522,0.3979933110367893,0.2755018967951863,0.5489778363734295,5호선,양천구
132,방화차량사업소,5,목동,2521,0.3678929765886287,0.0203062570296614,0.5489778363734295,5호선,양천구
128,방화차량사업소,5,우장산,2517,0.2240802675585284,0.0202014188105651,0.6317879623451481,5호선,강서구
131,방화차량사업소,5,신정,2520,0.3411371237458193,0.0086342686369348,0.5489778363734295,5호선,양천구
149,방화차량사업소,5,청구,2538,0.939799331103679,0.0184075203949165,0.951468330211507,6호선,중구
151,방화차량사업소,5,행당,2540,1.0,0.0204602786108029,0.6102433416671356,5호선,성동구
153,고덕차량사업소,5,마장,2542,0.9758620689655172,0.0038828970035683,0.6102433416671356,5호선,성동구
177,고덕차량사업소,5,마천,2561,0.0,0.0038828970035683,0.6796041577902294,5호선,송파구
176,고덕차량사업소,5,거여,2560,0.0310344827586206,0.003750878505447,0.6796041577902294,5호선,송파구
173,고덕차량사업소,5,방이,2557,0.1241379310344825,0.0072195998286348,0.6796041577902294,5호선,송파구
172,고덕차량사업소,5,올림픽공원,2556,0.1517241379310344,0.0048147922844247,0.6796041577902294,9호선,송파구
172,고덕차량사업소,5,올림픽공원,2556,0.1517241379310344,0.0048147922844247,0.6796041577902294,5호선,송파구
171,고덕차량사업소,5,둔촌동,2555,0.1999999999999999,0.0196616961270691,0.4074586190541267,5호선,강동구
170,고덕차량사업소,5,하남검단산,2566,0.2413793103448276,,,5호선,하남시
169,고덕차량사업소,5,하남시청,2565,0.2965517241379309,,,5호선,하남시
168,고덕차량사업소,5,하남풍산,2564,0.3413793103448276,,,5호선,하남시
167,고덕차량사업소,5,미사,2563,0.4137931034482759,,,5호선,하남시
166,고덕차량사업소,5,강일,2562,0.4724137931034482,,0.4074586190541267,5호선,강동구
165,고덕차량사업소,5,상일동,2554,0.5000000000000001,0.0087015721849967,0.4074586190541267,5호선,강동구
164,고덕차량사업소,5,고덕,2553,0.5379310344827585,0.0134891841903965,0.4074586190541267,5호선,강동구
163,고덕차량사업소,5,명일,2552,0.5793103448275863,0.0167081058063547,0.4074586190541267,5호선,강동구
162,고덕차량사업소,5,굽은다리,2551,0.6068965517241378,0.0176490611802194,0.4074586190541267,5호선,강동구
161,고덕차량사업소,5,길동,2550,0.6344827586206897,0.0041184594217848,0.4074586190541267,5호선,강동구
160,고덕차량사업소,5,강동,2549,0.6655172413793103,0.0658254586024936,0.4074586190541267,5호선,강동구
159,고덕차량사업소,5,천호,2548,0.693103448275862,0.244062079757293,0.4074586190541267,8호선,강동구
159,고덕차량사업소,5,천호,2548,0.693103448275862,0.244062079757293,0.4074586190541267,5호선,강동구
158,고덕차량사업소,5,광나루,2547,0.7620689655172413,0.0230799397892104,0.6518132049231067,5호선,광진구
157,고덕차량사업소,5,아차산,2546,0.8137931034482758,0.0248143004508043,0.6518132049231067,5호선,광진구
156,고덕차량사업소,5,군자,2545,0.8482758620689654,0.0237206177947992,0.6518132049231067,7호선,광진구
156,고덕차량사업소,5,군자,2545,0.8482758620689654,0.0237206177947992,0.6518132049231067,5호선,광진구
155,고덕차량사업소,5,장한평,2544,0.9,0.02356918481166,0.169438794787488,5호선,동대문구
154,고덕차량사업소,5,답십리,2543,0.9413793103448276,0.0388315586336862,0.6102433416671356,5호선,성동구
150,방화차량사업소,5,신금호,2539,0.9698996655518394,0.0081074889434507,0.6102433416671356,5호선,성동구
124,방화차량사업소,5,김포공항,2513,0.0702341137123745,0.0739847195059919,0.6317879623451481,5호선,강서구
175,고덕차량사업소,5,개롱,2559,0.0620689655172412,0.0051771960047578,0.6796041577902294,5호선,송파구
122,방화차량사업소,5,방화,2511,0.0,0.0116719883927265,0.6317879623451481,5호선,강서구
143,방화차량사업소,5,충정로,2532,0.745819397993311,0.0261280139370116,0.7768523952312429,2호선,서대문구
135,방화차량사업소,5,영등포구청,2524,0.4581939799331103,0.0482165206913109,0.6840979797898596,5호선,영등포구
135,방화차량사업소,5,영등포구청,2524,0.4581939799331103,0.0482165206913109,0.6840979797898596,2호선,영등포구
174,고덕차량사업소,5,오금,2558,0.0931034482758619,0.0035437906652567,0.6796041577902294,3호선,송파구
174,고덕차량사업소,5,오금,2558,0.0931034482758619,0.0035437906652567,0.6796041577902294,5호선,송파구
143,방화차량사업소,5,충정로,2532,0.745819397993311,0.0261280139370116,0.7768523952312429,5호선,서대문구
152,고덕차량사업소,5,왕십리,2541,1.0,0.1040836427786528,0.6102433416671356,5호선,성동구
152,고덕차량사업소,5,왕십리,2541,1.0,0.1040836427786528,0.6102433416671356,2호선,성동구
