차량기지,구분,호선,역명,전철역코드,수송비용,유휴공간,교통량,IC명,거리(km),방법1_가중치_물류량,방법2_cluster3_가중치_물류량,방법2_cluster4_가중치_물류량
군자차량사업소,중구,1,서울,150,0.0,0.005824345505,0.9514683302,토평IC,1.0,0.0426515638327829,0.033162584418125376,0.029693484179383625
군자차량사업소,중구,1,시청,151,0.141025641,0.02243408459,0.9514683302,토평IC,1.0,0.0426515638327829,0.033162584418125376,0.029693484179383625
군자차량사업소,중구,1,시청,151,0.141025641,0.02243408459,0.9514683302,토평IC,1.0,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,시청,201,0.0,,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,동대문역사문화공원,205,0.05149501661,0.029669216,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,시청,201,0.0,,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,시청,201,0.8106312292,,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,을지로4가,204,0.03488372093,0.02090810607,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,을지로4가,204,0.03488372093,0.02090810607,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,시청,201,0.8106312292,,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,신당,206,0.06644518272,0.003341880021,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,신당,206,0.06644518272,0.003341880021,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,을지로3가,203,0.02491694352,0.02151901519,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,동대문역사문화공원,205,0.05149501661,0.029669216,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,동대문역사문화공원,205,0.05149501661,0.029669216,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,을지로3가,203,0.02491694352,0.02151901519,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
신정차량사업소,중구,2,을지로입구,202,0.01162790698,0.09349368835,0.9514683302,금천IC,0.6046341078237912,0.0426515638327829,0.033162584418125376,0.029693484179383625
지축차량사업소,중구,3,약수,323,0.9096045198,0.004386379315,0.9514683302,일산IC,0.7383979005261648,0.0426515638327829,0.033162584418125376,0.029693484179383625
지축차량사업소,중구,3,충무로,321,0.8192090395,,0.9514683302,일산IC,0.7383979005261648,0.0426515638327829,0.033162584418125376,0.029693484179383625
지축차량사업소,중구,3,충무로,321,0.8192090395,,0.9514683302,일산IC,0.7383979005261648,0.0426515638327829,0.033162584418125376,0.029693484179383625
지축차량사업소,중구,3,동대입구,322,0.8700564972,0.03093504043,0.9514683302,일산IC,0.7383979005261648,0.0426515638327829,0.033162584418125376,0.029693484179383625
지축차량사업소,중구,3,약수,323,0.9096045198,0.004386379315,0.9514683302,일산IC,0.7383979005261648,0.0426515638327829,0.033162584418125376,0.029693484179383625
지축차량사업소,중구,3,을지로3가,320,0.7796610169,0.007325732347,0.9514683302,일산IC,0.7383979005261648,0.0426515638327829,0.033162584418125376,0.029693484179383625
지축차량사업소,중구,3,을지로3가,320,0.7796610169,0.007325732347,0.9514683302,일산IC,0.7383979005261648,0.0426515638327829,0.033162584418125376,0.029693484179383625
창동차량사업소,중구,4,명동,424,0.570977918,0.003365177403,0.9514683302,별내IC,0.38166398817571257,0.0426515638327829,0.033162584418125376,0.029693484179383625
창동차량사업소,중구,4,회현,425,0.5930599369,0.01708474682,0.9514683302,별내IC,0.38166398817571257,0.0426515638327829,0.033162584418125376,0.029693484179383625
창동차량사업소,중구,4,충무로,423,0.5488958991,0.03554145057,0.9514683302,별내IC,0.38166398817571257,0.0426515638327829,0.033162584418125376,0.029693484179383625
창동차량사업소,중구,4,동대문역사문화공원,422,0.5078864353,0.02857423905,0.9514683302,별내IC,0.38166398817571257,0.0426515638327829,0.033162584418125376,0.029693484179383625
창동차량사업소,중구,4,동대문역사문화공원,422,0.5078864353,0.02857423905,0.9514683302,별내IC,0.38166398817571257,0.0426515638327829,0.033162584418125376,0.029693484179383625
창동차량사업소,중구,4,서울,426,0.6214511041,,0.5956364104,별내IC,0.38166398817571257,0.0426515638327829,0.033162584418125376,0.029693484179383625
창동차량사업소,중구,4,동대문역사문화공원,422,0.5078864353,0.02857423905,0.9514683302,별내IC,0.38166398817571257,0.0426515638327829,0.033162584418125376,0.029693484179383625
창동차량사업소,중구,4,충무로,423,0.5488958991,0.03554145057,0.9514683302,별내IC,0.38166398817571257,0.0426515638327829,0.033162584418125376,0.029693484179383625
방화차량사업소,중구,5,청구,2538,0.9397993311,0.01840752039,0.9514683302,김포IC,0.3010994706800193,0.0426515638327829,0.033162584418125376,0.029693484179383625
