차량기지명,IC명,거리(km)
천왕차량사업소,동군포IC,18.73347461040315
도봉차량사업소,덕소삼패IC,18.79892239941229
수서차량사업소,금천IC,19.017089176387074
고덕차량사업소,서종IC,19.1826306213793
수서차량사업소,별내IC,19.267981278488914
고덕차량사업소,판교IC,19.468917060441605
수서차량사업소,산본IC,19.518726612000748
창동차량사업소,양재IC,19.578065833804427
지축차량사업소,중동IC,20.150873449257308
지축차량사업소,부평IC,20.23459329888973
천왕차량사업소,부곡IC,20.25993647868153
지축차량사업소,별내IC,20.352641929702717
도봉차량사업소,상일IC,20.453660177158213
신내차량사업소,성남IC,20.48799054113484
창동차량사업소,화도IC,20.49747424774658
군자차량사업소,평촌IC,20.6322521693962
방화차량사업소,광명역IC,21.02294013563694
수서차량사업소,북수원IC,21.127256598225962
신정차량사업소,군포IC,21.229243212279492
수서차량사업소,동수원IC,21.24346912375015
지축차량사업소,금천IC,21.244146248885293
신정차량사업소,동군포IC,21.322955308511055
수서차량사업소,광명역IC,21.636912537002786
방화차량사업소,목감IC,21.67536029974007
지축차량사업소,퇴계원IC,21.854074619462537
지축차량사업소,송내IC,21.952116957276644
수서차량사업소,부곡IC,22.03120479049125
천왕차량사업소,북수원IC,22.187578267309377
군자차량사업소,산본IC,22.476532888118296
도봉차량사업소,일산IC,22.506144492594483
신내차량사업소,대왕판교IC,22.523125190695858
군자차량사업소,광명역IC,22.5670127409319
신정차량사업소,부곡IC,22.624583368012107
수서차량사업소,목감IC,22.69251548457817
수서차량사업소,동군포IC,22.836375787979065
지축차량사업소,구리IC,22.876594908986775
도봉차량사업소,서하남IC,22.93502600318169
천왕차량사업소,매송IC,22.954998761759754
지축차량사업소,시흥IC,23.134286616403752
천왕차량사업소,대왕판교IC,23.151813988067875
신정차량사업소,대왕판교IC,23.19164660899368
지축차량사업소,서인천IC,23.254588785349405
군자차량사업소,자유로IC,23.3857399803248
수서차량사업소,마성IC,23.432374763327513
신내차량사업소,서종IC,23.500826603433662
창동차량사업소,성남IC,23.515841611362763
도봉차량사업소,자유로IC,23.557121694703056
군자차량사업소,목감IC,23.719415988517635
